energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.641 0.6273160841 0.6273160841
0.643 0.6297790845 0.6297790845
0.645 0.6322243099 0.6322243099
0.647 0.6346518594 0.6346518594
0.649 0.6370618294 0.6370618294
0.651 0.6394543231 0.6394543231
0.653 0.6418294395 0.6418294395
0.655 0.6441872662 0.6441872662
0.657 0.6465278942 0.6465278942
0.659 0.6488514586 0.6488514586
0.661 0.6511580513 0.6511580513
0.663 0.6534477707 0.6534477707
0.665 0.6557207097 0.6557207097
0.667 0.6579769673 0.6579769673
0.669 0.6602166749 0.6602166749
0.671 0.6624399191 0.6624399191
0.673 0.6646468065 0.6646468065
0.675 0.666837443 0.666837443
0.677 0.6690119217 0.6690119217
0.679 0.6711703491 0.6711703491
0.681 0.6733128382 0.6733128382
0.683 0.6754395022 0.6754395022
0.685 0.6775504219 0.6775504219
0.687 0.6796456997 0.6796456997
0.689 0.6817254702 0.6817254702
0.691 0.6837898309 0.6837898309
0.693 0.6858388683 0.6858388683
0.695 0.6878726934 0.6878726934
0.697 0.6898914055 0.6898914055
0.699 0.6918951271 0.6918951271
0.701 0.6937799534 0.6937799534
0.703 0.6954215369 0.6954215369
0.705 0.6954437982 0.6954437982
0.707 0.6465305538 0.6465305538
0.709 0.6216742504 0.6216742504
0.711 0.6540530474 0.6540530474
0.713 0.6733049892 0.6733049892
0.715 0.6811107522 0.6811107522
0.717 0.6857169045 0.6857169045
0.719 0.6804094487 0.6804094487
0.721 0.6672694757 0.6672694757
0.723 0.6703669099 0.6703669099
0.725 0.6836037257 0.6836037257
0.727 0.689679356 0.689679356
0.729 0.6931804203 0.6931804203
0.731 0.6960632488 0.6960632488
0.733 0.6985059473 0.6985059473
0.735 0.7006191081 0.7006191081
0.737 0.7025048301 0.7025048301
0.739 0.7045498466 0.7045498466
0.741 0.7066475414 0.7066475414
0.743 0.7086377378 0.7086377378
0.745 0.7104679468 0.7104679468
0.747 0.7122583871 0.7122583871
0.749 0.7140888048 0.7140888048
0.751 0.7158777667 0.7158777667
0.753 0.7176536944 0.7176536944
0.755 0.7194166897 0.7194166897
0.757 0.7211668191 0.7211668191
