energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.473 0.4293296337 0.4293296337
0.475 0.4337284267 0.4337284267
0.477 0.438100636 0.438100636
0.479 0.4424461722 0.4424461722
0.481 0.4467648268 0.4467648268
0.483 0.4510561526 0.4510561526
0.485 0.4553202093 0.4553202093
0.487 0.4595566988 0.4595566988
0.489 0.4637654126 0.4637654126
0.491 0.4679461718 0.4679461718
0.493 0.4720989168 0.4720989168
0.495 0.4762234092 0.4762234092
0.497 0.4803196192 0.4803196192
0.499 0.4843875766 0.4843875766
0.501 0.4884269536 0.4884269536
0.503 0.4924378693 0.4924378693
0.505 0.4964200556 0.4964200556
0.507 0.5003737211 0.5003737211
0.509 0.5042985678 0.5042985678
0.511 0.508194685 0.508194685
0.513 0.5120621324 0.5120621324
0.515 0.5159007907 0.5159007907
0.517 0.5197107196 0.5197107196
0.519 0.523491919 0.523491919
0.521 0.5272443891 0.5272443891
0.523 0.5309680104 0.5309680104
0.525 0.5346632004 0.5346632004
0.527 0.5383296609 0.5383296609
0.529 0.5419677496 0.5419677496
0.531 0.5374744534 0.5374744534
0.533 0.3385184705 0.3385184705
0.535 0.3421901762 0.3421901762
0.537 0.3458517492 0.3458517492
0.539 0.3495027721 0.3495027721
0.541 0.353142947 0.353142947
0.543 0.356772095 0.356772095
0.545 0.3603897095 0.3603897095
0.547 0.3639957905 0.3639957905
0.549 0.3675898612 0.3675898612
0.551 0.3711717129 0.3711717129
0.553 0.3747411668 0.3747411668
0.555 0.3782978356 0.3782978356
0.557 0.381841749 0.381841749
0.559 0.3853723109 0.3853723109
0.561 0.3888896108 0.3888896108
0.563 0.3923932612 0.3923932612
0.565 0.3958832324 0.3958832324
0.567 0.3993592858 0.3993592858
0.569 0.4028210044 0.4028210044
0.571 0.4062685966 0.4062685966
0.573 0.4097015858 0.4097015858
0.575 0.4131199419 0.4131199419
0.577 0.4165236056 0.4165236056
0.579 0.4199123979 0.4199123979
0.581 0.4232858717 0.4232858717
0.583 0.4266442955 0.4266442955
0.585 0.4299874306 0.4299874306
0.587 0.4333150983 0.4333150983
0.589 0.4366271496 0.4366271496
0.591 0.4399235249 0.4399235249
0.593 0.4432042241 0.4432042241
0.595 0.4464690387 0.4464690387
0.597 0.4497179091 0.4497179091
0.599 0.4525871575 0.4525871575
0.601 0.4558046758 0.4558046758
0.603 0.4590062201 0.4590062201
0.605 0.4621913433 0.4621913433
0.607 0.4653603137 0.4653603137
0.609 0.4685128629 0.4685128629
0.611 0.4716491401 0.4716491401
0.613 0.4747689068 0.4747689068
0.615 0.4778722525 0.4778722525
0.617 0.4809592068 0.4809592068
0.619 0.4840294421 0.4840294421
0.621 0.487083286 0.487083286
0.623 0.4901203215 0.4901203215
0.625 0.4931408167 0.4931408167
0.627 0.496144861 0.496144861
0.629 0.4991320372 0.4991320372
0.631 0.5021026731 0.5021026731
0.633 0.50505656 0.50505656
0.635 0.5079938769 0.5079938769
0.637 0.5109143853 0.5109143853
0.639 0.5138184428 0.5138184428
0.641 0.516705811 0.516705811
0.643 0.5195764303 0.5195764303
0.645 0.5224305391 0.5224305391
0.647 0.525267899 0.525267899
0.649 0.5280886889 0.5280886889
0.651 0.5308929682 0.5308929682
0.653 0.5336806774 0.5336806774
0.655 0.5364518762 0.5364518762
0.657 0.5392065048 0.5392065048
0.659 0.5419448018 0.5419448018
0.661 0.5446665287 0.5446665287
0.663 0.5473719835 0.5473719835
0.665 0.5500609875 0.5500609875
0.667 0.5527337193 0.5527337193
0.669 0.5553901792 0.5553901792
0.671 0.5580304265 0.5580304265
0.673 0.5606544614 0.5606544614
0.675 0.5632622838 0.5632622838
0.677 0.5658540726 0.5658540726
0.679 0.5684298873 0.5684298873
0.681 0.5709896088 0.5709896088
0.683 0.5735334158 0.5735334158
0.685 0.5760614276 0.5760614276
0.687 0.578573525 0.578573525
0.689 0.5810697675 0.5810697675
0.691 0.5835253596 0.5835253596
0.693 0.5859630108 0.5859630108
0.695 0.5884119272 0.5884119272
0.697 0.5908453465 0.5908453465
0.699 0.5932632685 0.5932632685
0.701 0.5956658125 0.5956658125
0.703 0.5980530381 0.5980530381
0.705 0.600425005 0.600425005
0.707 0.5977897048 0.5977897048
0.709 0.5652483702 0.5652483702
0.711 0.5675970316 0.5675970316
0.713 0.5699324012 0.5699324012
0.715 0.5722544789 0.5722544789
0.717 0.5745634437 0.5745634437
0.719 0.5768592358 0.5768592358
0.721 0.5791419744 0.5791419744
0.723 0.5814117789 0.5814117789
0.725 0.5836684108 0.5836684108
0.727 0.5859122276 0.5859122276
0.729 0.5881431103 0.5881431103
0.731 0.5903612375 0.5903612375
0.733 0.5925664306 0.5925664306
0.735 0.5947589278 0.5947589278
0.737 0.5969387293 0.5969387293
0.739 0.5991058946 0.5991058946
0.741 0.6012603641 0.6012603641
0.743 0.6034023762 0.6034023762
0.745 0.6055319309 0.6055319309
0.747 0.6076489687 0.6076489687
0.749 0.6097536683 0.6097536683
0.751 0.6118459105 0.6118459105
0.753 0.613926053 0.613926053
0.755 0.6159938574 0.6159938574
0.757 0.618049562 0.618049562
0.759 0.620092988 0.620092988
0.761 0.6221245527 0.6221245527
0.763 0.6241440177 0.6241440177
0.765 0.6261515617 0.6261515617
0.767 0.6281471848 0.6281471848
0.769 0.6301309466 0.6301309466
0.771 0.6321029663 0.6321029663
0.773 0.6340632439 0.6340632439
0.775 0.6360118985 0.6360118985
0.777 0.6379489303 0.6379489303
0.779 0.6398743987 0.6398743987
0.781 0.6417883635 0.6417883635
