energy_kev phabs_nh0.101_model_model phabs_nh0.101_model_y
1.37925 0.8896962404 0.8896962404
1.38882 0.8916513324 0.8916513324
1.398455 0.8935748935 0.8935748935
1.40816 0.8954682946 0.8954682946
1.41793 0.8973308206 0.8973308206
1.427765 0.8991628885 0.8991628885
1.43767 0.900965631 0.900965631
1.447645 0.902739346 0.902739346
1.45769 0.9044843912 0.9044843912
1.467805 0.9062009454 0.9062009454
1.47799 0.9078893661 0.9078893661
1.488245 0.9095499516 0.9095499516
1.498575 0.9111838341 0.9111838341
1.508975 0.9127903581 0.9127903581
1.519445 0.9143700004 0.9143700004
1.52999 0.9159237742 0.9159237742
1.540605 0.9174511433 0.9174511433
1.55129 0.9189525247 0.9189525247
1.562055 0.9202225208 0.9202225208
1.572895 0.9214127064 0.9214127064
1.583805 0.9228472114 0.9228472114
1.594795 0.9242581129 0.9242581129
1.60586 0.9256449938 0.9256449938
1.617005 0.9270087481 0.9270087481
1.628225 0.9283490181 0.9283490181
1.63952 0.9296661615 0.9296661615
1.6509 0.9309615493 0.9309615493
1.662355 0.9322343469 0.9322343469
1.673885 0.9334848523 0.9334848523
1.6855 0.9347143173 0.9347143173
1.6972 0.9359230399 0.9359230399
1.708975 0.9371103048 0.9371103048
1.72083 0.9382768273 0.9382768273
1.73277 0.9394233823 0.9394233823
1.744795 0.9405502081 0.9405502081
1.756905 0.9416575432 0.9416575432
1.769095 0.9427451491 0.9427451491
1.78137 0.9438137412 0.9438137412
1.79373 0.9448636174 0.9448636174
1.806175 0.9458950162 0.9458950162
1.818705 0.9469081163 0.9469081163
1.831325 0.9479035735 0.9479035735
1.844035 0.9459522367 0.9459522367
1.85683 0.94504565 0.94504565
1.86971 0.9460594058 0.9460594058
1.88268 0.9470556378 0.9470556378
1.895745 0.9480350018 0.9480350018
1.9089 0.9489973187 0.9489973187
1.922145 0.9499427676 0.9499427676
1.93548 0.9508715868 0.9508715868
1.94891 0.9517843127 0.9517843127
1.962435 0.9526812434 0.9526812434
1.97605 0.9535621405 0.9535621405
1.98976 0.9544275999 0.9544275999
2.00357 0.9552781582 0.9552781582
2.017475 0.9561136365 0.9561136365
2.03147 0.9569339752 0.9569339752
2.045565 0.9577399492 0.9577399492
2.05976 0.9585317969 0.9585317969
2.07405 0.9593093991 0.9593093991
2.08844 0.960073173 0.960073173
2.10293 0.9608233571 0.9608233571
2.117525 0.9615604281 0.9615604281
2.13222 0.9622842073 0.9622842073
2.14701 0.9629946947 0.9629946947
2.161905 0.9636926055 0.9636926055
2.17691 0.9643782377 0.9643782377
2.192015 0.9650514126 0.9650514126
2.207225 0.9657124281 0.9657124281
2.22254 0.9663615227 0.9663615227
2.23796 0.9669988155 0.9669988155
2.25349 0.9676247239 0.9676247239
2.269125 0.9682391286 0.9682391286
2.28487 0.9688425064 0.9688425064
2.300725 0.969434917 0.969434917
2.31669 0.9700165987 0.9700165987
2.332765 0.9705876112 0.9705876112
2.34895 0.9711481333 0.9711481333
2.365245 0.9716984034 0.9716984034
2.381655 0.9722386599 0.9722386599
2.398185 0.9727692008 0.9727692008
2.414825 0.9732898474 0.9732898474
2.43158 0.9738009572 0.9738009572
2.448455 0.9743027091 0.9743027091
2.46544 0.9746835232 0.9746835232
2.482545 0.9736210704 0.9736210704
2.499775 0.9741226435 0.9741226435
2.51712 0.9746149182 0.9746149182
2.534585 0.9750981927 0.9750981927
2.55217 0.9755726457 0.9755726457
2.569875 0.9760383964 0.9760383964
2.58771 0.9764957428 0.9764957428
2.605665 0.9769446254 0.9769446254
2.623745 0.9773853421 0.9773853421
2.64195 0.977817893 0.977817893
2.66028 0.9782424569 0.9782424569
2.67874 0.9786592722 0.9786592722
2.697325 0.9790683985 0.9790683985
2.71604 0.979469955 0.979469955
2.734885 0.9798640609 0.9798640609
2.753865 0.9802510142 0.9802510142
2.772975 0.9806307554 0.9806307554
2.792215 0.9810034037 0.9810034037
2.81159 0.9813684225 0.9813684225
2.831095 0.9816994071 0.9816994071
2.85074 0.9820521474 0.9820521474
2.87052 0.9823983312 0.9823983312
2.890435 0.982738018 0.982738018
2.910495 0.983071506 0.983071506
2.93069 0.9833986759 0.9833986759
2.951025 0.9837197065 0.9837197065
2.9715 0.9840347767 0.9840347767
2.992115 0.9843438864 0.9843438864
3.012875 0.9846472144 0.9846472144
3.03378 0.98494488 0.98494488
3.054835 0.985237062 0.985237062
3.07603 0.9855236411 0.9855236411
3.09737 0.9858047962 0.9858047962
3.118865 0.9860807061 0.9860807061
3.140505 0.9863514304 0.9863514304
3.162295 0.9866170287 0.9866170287
3.18424 0.9868776798 0.9868776798
3.206335 0.9870114326 0.9870114326
3.22858 0.9870863557 0.9870863557
3.25098 0.9873377681 0.9873377681
3.27354 0.9875844121 0.9875844121
3.296255 0.987826407 0.987826407
3.319125 0.9880637527 0.9880637527
3.342155 0.9882966876 0.9882966876
3.365345 0.9885251522 0.9885251522
3.388695 0.9887493253 0.9887493253
3.41221 0.9889692068 0.9889692068
3.435885 0.989184916 0.989184916
3.459725 0.9893965125 0.9893965125
3.483735 0.9896041751 0.9896041751
3.507905 0.9898077846 0.9898077846
3.532245 0.9900075197 0.9900075197
3.556755 0.9902034998 0.9902034998
3.58143 0.9903956652 0.9903956652
3.60628 0.9905841947 0.9905841947
3.631305 0.9907690883 0.9907690883
3.6565 0.9909504652 0.9909504652
3.68187 0.9911283851 0.9911283851
3.70742 0.9913029075 0.9913029075
3.733145 0.9914740324 0.9914740324
3.759045 0.9916419387 0.9916419387
3.78513 0.9918065667 0.9918065667
3.811395 0.9919680357 0.9919680357
3.83784 0.9921264052 0.9921264052
3.86447 0.9922817349 0.9922817349
3.891285 0.9924340844 0.9924340844
3.918285 0.9925835133 0.9925835133
3.94547 0.9927300215 0.9927300215
3.972845 0.9928736687 0.9928736687
4.00041 0.9930145741 0.9930145741
4.02817 0.9931458831 0.9931458831
4.05612 0.9931433797 0.9931433797
4.08426 0.993278861 0.993278861
4.1126 0.9934117794 0.9934117794
4.14114 0.9935421348 0.9935421348
4.169875 0.9936699271 0.9936699271
4.198805 0.9937952757 0.9937952757
4.22794 0.9939181805 0.9939181805
4.257275 0.9940387011 0.9940387011
4.286815 0.9941568971 0.9941568971
4.31656 0.9942728281 0.9942728281
4.34651 0.9943864942 0.9943864942
4.37667 0.9944979548 0.9944979548
4.407035 0.9946072698 0.9946072698
4.437615 0.9947144389 0.9947144389
