energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.3484 0.1697884307 0.1697884307
0.3508 0.1759762155 0.1759762155
0.3532 0.1819124799 0.1819124799
0.35565 0.1880084837 0.1880084837
0.35815 0.1945909595 0.1945909595
0.36065 0.2012169201 0.2012169201
0.36315 0.2078817831 0.2078817831
0.36565 0.2145810487 0.2145810487
0.3682 0.2214433516 0.2214433516
0.37075 0.2283360521 0.2283360521
0.3733 0.2352473887 0.2352473887
0.3759 0.2423146637 0.2423146637
0.3785 0.2493962976 0.2493962976
0.38115 0.2566226357 0.2566226357
0.3838 0.2638589095 0.2638589095
0.38645 0.2710934689 0.2710934689
0.38915 0.2784643625 0.2784643625
0.39185 0.2858291195 0.2858291195
0.39455 0.2931838456 0.2931838456
0.3973 0.3006587436 0.3006587436
0.40005 0.3081193282 0.3081193282
0.4028 0.315554614 0.315554614
0.4056 0.3150085536 0.3150085536
0.4084 0.3143755996 0.3143755996
0.41125 0.3218482431 0.3218482431
0.4141 0.3292959077 0.3292959077
0.41695 0.3367083913 0.3367083913
0.41985 0.3442171352 0.3442171352
0.4228 0.3518137349 0.3518137349
0.42575 0.3593707695 0.3593707695
0.4287 0.366878515 0.366878515
0.43165 0.3743412989 0.3743412989
0.43465 0.3818733531 0.3818733531
0.4377 0.3894799158 0.3894799158
0.4407 0.3969025779 0.3969025779
0.44375 0.4043160865 0.4043160865
0.44685 0.411787144 0.411787144
0.44995 0.4192625615 0.4192625615
0.45305 0.42666946 0.42666946
0.4562 0.4341224509 0.4341224509
0.4594 0.4416198357 0.4416198357
0.4626 0.4490397319 0.4490397319
0.4658 0.4563809149 0.4563809149
0.469 0.4636423309 0.4636423309
0.47225 0.4709331135 0.4709331135
0.47555 0.4782516367 0.4782516367
0.47885 0.4854827969 0.4854827969
0.48215 0.4926260049 0.4926260049
0.4855 0.499785573 0.499785573
0.4889 0.5067742911 0.5067742911
0.4923 0.5136680948 0.5136680948
0.4957 0.5206692374 0.5206692374
0.4991 0.5275982406 0.5275982406
0.50255 0.5345502461 0.5345502461
0.50605 0.5415186878 0.5415186878
0.50955 0.5483923232 0.5483923232
0.5131 0.5552432208 0.5552432208
0.5167 0.5619884121 0.5619884121
0.5203 0.568091506 0.568091506
0.5239 0.5646674766 0.5646674766
0.5275 0.5603484987 0.5603484987
0.53115 0.5752223294 0.5752223294
0.53485 0.5928533289 0.5928533289
0.53855 0.5982171772 0.5982171772
0.5423 0.5556504083 0.5556504083
0.54605 0.5111396507 0.5111396507
0.5498 0.4886680171 0.4886680171
0.55365 0.4808252878 0.4808252878
0.5575 0.4932242977 0.4932242977
0.56135 0.5016197316 0.5016197316
0.56525 0.512953681 0.512953681
0.5692 0.520881893 0.520881893
0.57315 0.5278170722 0.5278170722
0.5771 0.5366300845 0.5366300845
0.5811 0.5441717319 0.5441717319
0.58515 0.5509575694 0.5509575694
0.58925 0.557100131 0.557100131
0.59335 0.5631330203 0.5631330203
0.59745 0.5690827659 0.5690827659
0.60155 0.5749498582 0.5749498582
0.6057 0.5808040401 0.5808040401
0.6099 0.586644668 0.586644668
0.61415 0.5924676335 0.5924676335
0.61845 0.5982723411 0.5982723411
0.62275 0.6039897311 0.6039897311
0.62705 0.6096206152 0.6096206152
0.6314 0.6152290303 0.6152290303
0.6358 0.6208145428 0.6208145428
0.6402 0.6263123544 0.6263123544
0.64465 0.6317837056 0.6317837056
0.6491 0.6371689569 0.6371689569
0.6536 0.6425244758 0.6425244758
0.65815 0.6478529832 0.6478529832
0.6627 0.653091908 0.653091908
0.6673 0.6583008035 0.6583008035
0.67195 0.6634766537 0.6634766537
0.6766 0.6685657416 0.6685657416
0.6813 0.6736192412 0.6736192412
0.68605 0.678639773 0.678639773
0.6908 0.6835711101 0.6835711101
0.6956 0.6884672052 0.6884672052
0.7004 0.6931285728 0.6931285728
0.70525 0.6563404362 0.6563404362
0.71015 0.6461186667 0.6461186667
0.7151 0.68006805 0.68006805
0.72005 0.6770524963 0.6770524963
0.725 0.678764249 0.678764249
